Sun, 1988500E24, -6.780015818193615E-03, 5.892638095482940E-03, 1.097587877564555E-04, -6.714419351108065E-06, -5.947987088140002E-06, 2.132368300805756E-07
Mercury, 3.302E23, 2.981503277210643E-01, 1.345590386295491E-01, -1.734764538691100E-02, -1.641585870989119E-02, 2.716245028081722E-02, 3.725536721740016E-03
Venus, 48.685E23, -1.060175512167060E-01, -7.137782853372173E-01, -4.039836696733011E-03, 1.989414037532022E-02, -2.848777088246520E-03, -1.187195505671023E-03
Earth, 5.97219e24, -4.966358890322033E-01, 8.592702299117283E-01, 7.357104736467524E-05, -1.520618530088456E-02, -8.641632773776647E-03, 3.539345825377324E-07
Mars, 6.4171e23, 3.735322840621664E-01, 1.491908253142161E+00, 2.192123944881289E-02, -1.303390027254440E-02, 4.651993528214122E-03, 4.173953368786015E-04
Jupiter, 1898.13e24, 3.146879739490354E+00, -3.988191894848201E+00, -5.385927124293093E-02, 5.831248706416881E-03, 5.031862400654770E-03, -1.513047202202884E-04
Saturn, 5.6834e26, 5.566056468981670E+00, -8.277677179351329E+00, -7.766760997416981E-02, 4.317869926763008E-03, 3.099886705029647E-03, -2.260776796527050E-04
Uranus, 86.813e24, 1.529560266338756E+01, 1.252203258514559E+01, -1.516494090750711E-01, -2.520469568688464E-03, 2.860083336985629E-03, 4.317045606197451E-05
Neptune, 1.024e26, 2.946383902448970E+01, -5.166729710209438E+00, -5.726250427093441E-01, 5.216027585453240E-04, 3.111025216103150E-03, -7.584790345648661E-05
Pluto, 1.307e22, 1.410971304929080E+01, -3.114055045321344E+01, -7.491285021032982E-01, 2.943066921723274E-03, 6.313651365140849E-04, -9.173979319545036E-04
Comet, 2.2e14, -2.021713266547306E+01, 2.680441193303063E+01, -9.980350376877995E+00, 2.712008397007815E-04, 5.097336597049155E-04, -1.017183599605749E-05
Moon, 7.349e22, -4.941185067855323E-01, 8.602023475824295E-01, -1.339097842705385E-04, -1.538592111957048E-02, -8.111555406822889E-03, 2.564943248236700E-05
